date,ticker,vol_7d,vol_20d,vol_60d,vol_regime
2015-03-31,SLV,16.178484906556086,22.217864787559552,27.66065362477311,Normal
2015-04-01,SLV,16.219856432663033,22.899216857135126,27.429643426149287,Normal
2015-04-02,SLV,17.858547378124943,23.53970697211292,27.23997269963788,Normal
2015-04-06,SLV,20.811900067151203,22.294181020584535,27.418634302944167,Normal
2015-04-07,SLV,21.11947696990131,22.38158031880502,27.318310794965857,Normal
2015-04-08,SLV,24.28066311178668,23.849757580203377,27.629046807945983,Normal
2015-04-09,SLV,25.205402628446627,24.538759883450275,27.874434766935018,Normal
2015-04-10,SLV,28.19198920653005,25.053978741403178,27.546567439651348,Normal
2015-04-13,SLV,24.68892422389866,25.48579630272933,27.56126892815075,Normal
2015-04-14,SLV,24.155027615281057,25.607737157597555,27.580795865935748,Normal
2015-04-15,SLV,21.743649508070497,25.514605693446786,25.599494173728747,Normal
2015-04-16,SLV,21.72835722686717,23.27477297849876,25.417851897918563,Normal
2015-04-17,SLV,18.68467574634195,23.219741669927814,25.283440133174246,Normal
2015-04-20,SLV,18.089058987516857,19.811446544595736,25.272979827819697,Normal
2015-04-21,SLV,13.15311735638086,18.295932513918263,25.276905776164742,Normal
2015-04-22,SLV,13.875270926989936,18.665221890114232,25.064295912477608,Normal
2015-04-23,SLV,15.320653138077272,19.01722983016976,24.967981026713897,Normal
2015-04-24,SLV,13.829255739544527,18.973889690364576,25.008070892924017,Normal
2015-04-27,SLV,30.499944031578472,24.497318775486274,23.728749673744307,Normal
2015-04-28,SLV,31.33991733312372,24.534642974126974,23.57808236643124,Normal
2015-04-29,SLV,28.57671504245584,24.54593643925315,23.575276682194378,Normal
2015-04-30,SLV,33.53600230024873,24.8371173676301,24.030228244746578,Normal
2015-05-01,SLV,31.87530081885386,24.574232184637967,24.011151204830416,Normal
2015-05-04,SLV,32.58619226242966,24.506873328978386,24.228708713420286,Normal
2015-05-05,SLV,30.94661810720019,24.594274077348388,23.31743654686337,Normal
2015-05-06,SLV,20.969725010561618,23.43791065459802,23.010330819593875,Normal
2015-05-07,SLV,19.99395208341156,22.72881423753561,23.05667920698961,Normal
2015-05-08,SLV,21.311419185580288,22.21858327020893,23.123040837419918,Normal
2015-05-11,SLV,16.362951559530423,22.305594869036057,23.228392157794197,Normal
2015-05-12,SLV,18.451429621158542,22.840324142242498,22.899085759688166,Normal
2015-05-13,SLV,25.76694907604249,25.621102170692378,22.26077896216014,Normal
2015-05-14,SLV,26.843284859880285,26.11293713000496,22.520489418403784,Normal
2015-05-15,SLV,25.97225916127271,26.08014197426757,22.525963257781694,Normal
2015-05-18,SLV,22.18630360766336,24.881252694094805,22.446729217119355,Normal
2015-05-19,SLV,33.51854247140796,27.85995122353398,23.34556210997708,Normal
2015-05-20,SLV,31.61903445000089,27.16653364572338,23.321035459571828,Normal
2015-05-21,SLV,31.243929718780855,27.169073201401922,23.06946219596814,Normal
2015-05-22,SLV,23.948366638602707,26.81739956114933,23.08215002045884,Normal
2015-05-26,SLV,22.521700405935157,24.548958541328155,23.448354347937368,Normal
2015-05-27,SLV,21.165230732514537,24.174389197638884,23.295236619575675,Normal
2015-05-28,SLV,19.26230176385892,24.124036930833736,23.266718681360686,Normal
2015-05-29,SLV,11.757774556421609,22.297999643346138,23.230071103067154,Normal
2015-06-01,SLV,11.903955713433946,22.300569551405864,23.2265237081185,Normal
2015-06-02,SLV,12.533630265548993,21.788973594803558,22.759072675924173,Normal
2015-06-03,SLV,14.511321468576503,22.404050544154032,22.950923528461036,Normal
2015-06-04,SLV,15.649845452087222,23.753022172300675,23.398754421467768,Normal
2015-06-05,SLV,15.638043636820159,23.54134142189821,23.29083735897415,Normal
2015-06-08,SLV,15.13679507856833,23.222465196760286,23.29462760467311,Normal
2015-06-09,SLV,14.615086465744302,22.876967663827187,23.297108415700514,Normal
2015-06-10,SLV,14.901748729052123,22.096793216214103,23.2709313489366,Normal
2015-06-11,SLV,13.93382740433671,17.691556267190435,23.23181128527645,Normal
2015-06-12,SLV,12.67890865033825,15.765037611024702,22.383675909078114,Normal
2015-06-15,SLV,8.764161860569061,16.152097088028377,22.44986067150776,Normal
2015-06-16,SLV,8.619921113537371,15.462581270468286,21.16440629161283,Normal
2015-06-17,SLV,9.625663192444623,12.932656531656875,20.865252178276126,Low
2015-06-18,SLV,9.3879512344771,12.96966670704773,20.867178338002873,Low
2015-06-19,SLV,9.704883371860516,12.882273482750334,20.86764354241745,Low
2015-06-22,SLV,9.933092917512095,13.15820734140202,20.876096552714984,Low
2015-06-23,SLV,17.477138574325505,13.704747626045567,21.335678439016664,Low
2015-06-24,SLV,16.16942625023532,13.866639290638897,21.159634749114254,Low
2015-06-25,SLV,16.005596615415378,13.826875225215874,21.154218848533006,Low
2015-06-26,SLV,14.456888595827358,13.761347517856507,20.766214004117828,Low
2015-06-29,SLV,14.241466689985238,13.726854929910315,20.638886266276288,Low
2015-06-30,SLV,14.431583926368155,13.49737885923511,20.349018982990266,Low
2015-07-01,SLV,13.4360386261489,12.952505925658123,20.367090277912812,Low
2015-07-02,SLV,7.095162171877208,10.969354525664004,19.964321564585823,Low
2015-07-06,SLV,6.913693468089832,10.96279690644399,19.614970791932134,Low
2015-07-07,SLV,22.322092507916533,16.85680250272335,20.68788648123988,Normal
2015-07-08,SLV,22.95606167771455,16.948450049253093,20.606428082802807,Normal
2015-07-09,SLV,28.111801672663233,18.844102675469347,21.065674158355087,Normal
2015-07-10,SLV,28.823615023557185,19.15710951585267,21.072583445403833,Normal
2015-07-13,SLV,28.495807984959644,19.144446144573525,21.07877805527606,Normal
2015-07-14,SLV,28.635639287696197,18.804887804448967,21.13257587181453,Normal
2015-07-15,SLV,29.719176736882915,19.569374016725483,21.144245884297877,Normal
