date,ticker,rolling_sharpe_252d,rolling_sortino_252d,var_95_252d,cvar_95_252d,max_drawdown_60d
2016-01-04,SLV,-0.4730978349221039,-0.7827986989114235,-2.408903259000148,-3.3333630077179675,-14.461741147063634
2016-01-05,SLV,-0.548549840512073,-0.9025137366082385,-2.408903259000148,-3.3333630077179675,-13.683525591683166
2016-01-06,SLV,-0.6276276302321604,-1.0281090698894901,-2.408903259000148,-3.3333630077179675,-13.359276325709335
2016-01-07,SLV,-0.5459785606444714,-0.897758612254309,-2.408903259000148,-3.3333630077179675,-11.673152930148856
2016-01-08,SLV,-0.5885633910781536,-0.9646040791208944,-2.408903259000148,-3.3333630077179675,-13.748377918741262
2016-01-11,SLV,-0.6510620784785054,-1.067353376900988,-2.408903259000148,-3.3333630077179675,-14.100065158448427
2016-01-12,SLV,-0.695281795611127,-1.1402313320187574,-2.408903259000148,-3.3333630077179675,-13.80889851800382
2016-01-13,SLV,-0.7054533620548975,-1.1556749894826808,-2.408903259000148,-3.3333630077179675,-11.598954332999822
2016-01-14,SLV,-0.7567217769734091,-1.2359807742883981,-2.408903259000148,-3.3333630077179675,-13.564879537686691
2016-01-15,SLV,-0.7455523929021423,-1.2179250196719933,-2.408903259000148,-3.3333630077179675,-13.237224295321559
2016-01-19,SLV,-0.9427981567980608,-1.5044052047926781,-2.408903259000148,-3.3333630077179675,-12.4508554633476
2016-01-20,SLV,-0.9642076503879312,-1.5368758785553802,-2.408903259000148,-3.3333630077179675,-11.664486631373638
2016-01-21,SLV,-1.021350161620867,-1.6262489901861343,-2.408903259000148,-3.3333630077179675,-11.795544978617322
2016-01-22,SLV,-1.1113610308018298,-1.7675631115178707,-2.408903259000148,-3.3333630077179675,-12.319790866599966
2016-01-25,SLV,-1.0171242696868363,-1.6201131810384715,-2.408903259000148,-3.3333630077179675,-11.009176146643362
2016-01-26,SLV,-0.8428627854209368,-1.3491414514697098,-2.408903259000148,-3.3333630077179675,-7.123658679195688
2016-01-27,SLV,-0.8994208546818129,-1.437724275750193,-2.408903259000148,-3.3333630077179675,-6.689187556483455
2016-01-28,SLV,-0.94879567874677,-1.515011895329456,-2.408903259000148,-3.3333630077179675,-7.81250374553637
2016-01-29,SLV,-0.7098158576900647,-1.179441114359579,-2.3738103308829492,-3.076266982711484,-6.79012192248708
2016-02-01,SLV,-0.7702793267303595,-1.2755248048270371,-2.3738103308829492,-3.076266982711484,-4.937413299697857
2016-02-02,SLV,-0.7676612487903028,-1.2710794102140666,-2.3738103308829492,-3.076266982711484,-4.75524682591516
2016-02-03,SLV,-0.6741386838344207,-1.1232024705545447,-2.3738103308829492,-3.076266982711484,-0.923296272339047
2016-02-04,SLV,-0.6224731801165193,-1.039714952959281,-2.3738103308829492,-3.076266982711484,0.0
2016-02-05,SLV,-0.5530322595360248,-0.9245619634257783,-2.3738103308829492,-3.076266982711484,0.0
2016-02-08,SLV,-0.32469646808395175,-0.550754644279902,-2.30000295954776,-3.001823807087785,0.0
2016-02-09,SLV,-0.4345744963407064,-0.7352829919555244,-2.30000295954776,-3.001823807087785,-0.5483202389950925
2016-02-10,SLV,-0.3852900528814292,-0.6511776238579966,-2.30000295954776,-3.001823807087785,-0.27416011949754626
2016-02-11,SLV,-0.22523303633189895,-0.38333897033755754,-2.30000295954776,-3.001823807087785,0.0
2016-02-12,SLV,-0.2329502291935108,-0.3964213174755593,-2.30000295954776,-3.001823807087785,0.0
2016-02-16,SLV,-0.48825452333581315,-0.8173527815132933,-2.3738103308829492,-3.067412108824746,-3.2021317516039094
2016-02-17,SLV,-0.2884567169821279,-0.494339982741151,-2.30000295954776,-2.9179393494532375,-3.00200010764623
2016-02-18,SLV,-0.19412028779548757,-0.33316094537055896,-2.30000295954776,-2.9179393494532375,-1.5343532071259713
2016-02-19,SLV,-0.2169911734550102,-0.372565458770599,-2.30000295954776,-2.9179393494532375,-2.3348861450269487
2016-02-22,SLV,-0.2359992892121743,-0.4048742249347814,-2.30000295954776,-2.9179393494532375,-3.735820376871224
2016-02-23,SLV,-0.2274516562452739,-0.39031648097981186,-2.30000295954776,-2.9179393494532375,-3.00200010764623
2016-02-24,SLV,-0.2131173211313844,-0.3654943445587567,-2.30000295954776,-2.9179393494532375,-3.135419082927937
2016-02-25,SLV,-0.32951183918605775,-0.5639134839853055,-2.30000295954776,-2.9179393494532375,-3.8692457142231795
2016-02-26,SLV,-0.45467718346237634,-0.7731035061865517,-2.3738103308829492,-2.9453982583390954,-6.470976171883802
2016-02-29,SLV,-0.4034917811070382,-0.6873095622510929,-2.3738103308829492,-2.9453982583390954,-5.270179946067454
2016-03-01,SLV,-0.35293371643212706,-0.6011570154869179,-2.3738103308829492,-2.9453982583390954,-5.470311590025134
2016-03-02,SLV,-0.3033199153302121,-0.516285117904016,-2.3738103308829492,-2.9453982583390954,-4.93662296475782
2016-03-03,SLV,-0.19523843452233575,-0.33305427708033725,-2.3738103308829492,-2.9453982583390954,-3.2688444202798927
2016-03-04,SLV,-0.12428613616428638,-0.21273379302437895,-2.3738103308829492,-2.9453982583390954,-1.5343532071259713
2016-03-07,SLV,0.019501293506952226,0.033508465041474554,-2.3738103308829492,-2.9453982583390954,-0.6004012939432979
2016-03-08,SLV,-0.03953614013135976,-0.06776644148227519,-2.3738103308829492,-2.9453982583390954,-2.4683114823789154
2016-03-09,SLV,-0.043463822226380705,-0.07450389608916606,-2.3738103308829492,-2.9453982583390954,-3.068712776322202
2016-03-10,SLV,0.10264707249151213,0.17653974250638096,-2.3738103308829492,-2.9453982583390954,-1.1340899192106124
2016-03-11,SLV,0.047159045523398974,0.08118102013534012,-2.3738103308829492,-2.9453982583390954,-1.8011975197596342
