date,ticker,close,cummax,drawdown_pct,in_drawdown
2015-01-02,SLV,15.109999656677246,15.109999656677246,0.0,0
2015-01-05,SLV,15.5,15.5,0.0,0
2015-01-06,SLV,15.829999923706055,15.829999923706055,0.0,0
2015-01-07,SLV,15.850000381469727,15.850000381469727,0.0,0
2015-01-08,SLV,15.640000343322754,15.850000381469727,-1.3249213444340602,1
2015-01-09,SLV,15.770000457763672,15.850000381469727,-0.5047313677013054,0
2015-01-12,SLV,15.869999885559082,15.869999885559082,0.0,0
2015-01-13,SLV,16.290000915527344,16.290000915527344,0.0,0
2015-01-14,SLV,16.1299991607666,16.290000915527344,-0.9822083840905771,0
2015-01-15,SLV,16.149999618530273,16.290000915527344,-0.8594308724907629,0
2015-01-16,SLV,16.950000762939453,16.950000762939453,0.0,0
2015-01-20,SLV,17.18000030517578,17.18000030517578,0.0,0
2015-01-21,SLV,17.3700008392334,17.3700008392334,0.0,0
2015-01-22,SLV,17.610000610351562,17.610000610351562,0.0,0
2015-01-23,SLV,17.510000228881836,17.610000610351562,-0.5678613174547209,0
2015-01-26,SLV,17.1299991607666,17.610000610351562,-2.725732157571903,1
2015-01-27,SLV,17.329999923706055,17.610000610351562,-1.590009522662461,1
2015-01-28,SLV,17.229999542236328,17.610000610351562,-2.157870840117182,1
2015-01-29,SLV,16.239999771118164,17.610000610351562,-7.779675137706022,1
2015-01-30,SLV,16.540000915527344,17.610000610351562,-6.076091185341859,1
2015-02-02,SLV,16.469999313354492,17.610000610351562,-6.473601689297793,1
2015-02-03,SLV,16.549999237060547,17.610000610351562,-6.019314801544773,1
2015-02-04,SLV,16.6299991607666,17.610000610351562,-5.565027913791742,1
2015-02-05,SLV,16.579999923706055,17.610000610351562,-5.84895315699222,1
2015-02-06,SLV,16.030000686645508,17.610000610351562,-8.97217415641255,1
2015-02-09,SLV,16.31999969482422,17.610000610351562,-7.325388249952991,1
2015-02-10,SLV,16.190000534057617,17.610000610351562,-8.0636003809065,1
2015-02-11,SLV,16.079999923706055,17.610000610351562,-8.688248913212071,1
2015-02-12,SLV,16.149999618530273,17.610000610351562,-8.290749240309891,1
2015-02-13,SLV,16.540000915527344,17.610000610351562,-6.076091185341859,1
2015-02-17,SLV,15.829999923706055,17.610000610351562,-10.107896791321991,1
2015-02-18,SLV,15.75,17.610000610351562,-10.56218367907501,1
2015-02-19,SLV,15.699999809265137,17.610000610351562,-10.846114337802371,1
2015-02-20,SLV,15.539999961853027,17.610000610351562,-11.75468811330842,1
2015-02-23,SLV,15.630000114440918,17.610000610351562,-11.243614010704551,1
2015-02-24,SLV,15.5600004196167,17.610000610351562,-11.641113683606719,1
2015-02-25,SLV,15.829999923706055,17.610000610351562,-10.107896791321991,1
2015-02-26,SLV,15.84000015258789,17.610000610351562,-10.05110957647114,1
2015-02-27,SLV,15.869999885559082,17.610000610351562,-9.88075334744547,1
2015-03-02,SLV,15.65999984741211,17.610000610351562,-11.07325778167888,1
2015-03-03,SLV,15.579999923706055,17.610000610351562,-11.527544669431911,1
2015-03-04,SLV,15.489999771118164,17.610000610351562,-12.03861877203578,1
2015-03-05,SLV,15.529999732971191,17.610000610351562,-11.811475328159272,1
2015-03-06,SLV,15.1899995803833,17.610000610351562,-13.742197308873061,1
2015-03-09,SLV,15.100000381469727,17.610000610351562,-14.253265995950049,1
2015-03-10,SLV,15.020000457763672,17.610000610351562,-14.707552883703078,1
2015-03-11,SLV,14.84000015258789,17.610000610351562,-15.729701088910819,1
2015-03-12,SLV,14.920000076293945,17.610000610351562,-15.2754142011578,1
2015-03-13,SLV,14.899999618530273,17.610000610351562,-15.38898863085949,1
2015-03-16,SLV,14.989999771118164,17.610000610351562,-14.87791452825562,1
2015-03-17,SLV,14.899999618530273,17.610000610351562,-15.38898863085949,1
2015-03-18,SLV,15.359999656677246,17.610000610351562,-12.77683631851616,1
2015-03-19,SLV,15.4399995803833,17.610000610351562,-12.322549430763141,1
2015-03-20,SLV,16.0,17.610000610351562,-9.14253580096509,1
2015-03-23,SLV,16.299999237060547,17.610000610351562,-7.438962679654693,1
2015-03-24,SLV,16.280000686645508,17.610000610351562,-7.552526278302629,1
2015-03-25,SLV,16.239999771118164,17.610000610351562,-7.779675137706022,1
2015-03-26,SLV,16.299999237060547,17.610000610351562,-7.438962679654693,1
2015-03-27,SLV,16.219999313354492,17.610000610351562,-7.893249567407712,1
2015-03-30,SLV,15.979999542236328,17.610000610351562,-9.256110230666781,1
2015-03-31,SLV,15.930000305175781,17.610000610351562,-9.54003547386727,1
2015-04-01,SLV,16.229999542236328,17.610000610351562,-7.836462352556861,1
2015-04-02,SLV,16.020000457763672,17.610000610351562,-9.0289613712634,1
2015-04-06,SLV,16.270000457763672,17.610000610351562,-7.6093134931534685,1
2015-04-07,SLV,16.149999618530273,17.610000610351562,-8.290749240309891,1
2015-04-08,SLV,15.8100004196167,17.610000610351562,-10.221465805496798,1
2015-04-09,SLV,15.510000228881836,17.610000610351562,-11.925044342334079,1
2015-04-10,SLV,15.770000457763672,17.610000610351562,-10.44860924937332,1
2015-04-13,SLV,15.600000381469727,17.610000610351562,-11.413970239730208,1
2015-04-14,SLV,15.510000228881836,17.610000610351562,-11.925044342334079,1
2015-04-15,SLV,15.630000114440918,17.610000610351562,-11.243614010704551,1
2015-04-16,SLV,15.569999694824219,17.610000610351562,-11.58433188428275,1
2015-04-17,SLV,15.5600004196167,17.610000610351562,-11.641113683606719,1
2015-04-20,SLV,15.289999961853027,17.610000610351562,-13.17433599141834,1
2015-04-21,SLV,15.319999694824219,17.610000610351562,-13.003979762392671,1
2015-04-22,SLV,15.109999656677246,17.610000610351562,-14.19648419662608,1
2015-04-23,SLV,15.210000038146973,17.610000610351562,-13.62862287917136,1
2015-04-24,SLV,15.0600004196167,17.610000610351562,-14.48040943982657,1
2015-04-27,SLV,15.65999984741211,17.610000610351562,-11.07325778167888,1
2015-04-28,SLV,15.869999885559082,17.610000610351562,-9.88075334744547,1
2015-04-29,SLV,15.8100004196167,17.610000610351562,-10.221465805496798,1
2015-04-30,SLV,15.430000305175781,17.610000610351562,-12.379331230087109,1
2015-05-01,SLV,15.470000267028809,17.610000610351562,-12.1521877862106,1
2015-05-04,SLV,15.699999809265137,17.610000610351562,-10.846114337802371,1
2015-05-05,SLV,15.8100004196167,17.610000610351562,-10.221465805496798,1
2015-05-06,SLV,15.770000457763672,17.610000610351562,-10.44860924937332,1
2015-05-07,SLV,15.600000381469727,17.610000610351562,-11.413970239730208,1
2015-05-08,SLV,15.760000228881836,17.610000610351562,-10.505396464224159,1
2015-05-11,SLV,15.569999694824219,17.610000610351562,-11.58433188428275,1
2015-05-12,SLV,15.8100004196167,17.610000610351562,-10.221465805496798,1
2015-05-13,SLV,16.350000381469727,17.610000610351562,-7.155026605400449,1
2015-05-14,SLV,16.649999618530273,17.610000610351562,-5.451453484090052,1
2015-05-15,SLV,16.75,17.610000610351562,-4.8835921666353315,1
2015-05-18,SLV,16.889999389648438,17.610000610351562,-4.088592820830971,1
2015-05-19,SLV,16.3799991607666,17.610000610351562,-6.984675791901662,1
2015-05-20,SLV,16.3700008392334,17.610000610351562,-7.041452175698759,1
2015-05-21,SLV,16.389999389648438,17.610000610351562,-6.927888577050812,1
2015-05-22,SLV,16.34000015258789,17.610000610351562,-7.211813820251301,1
2015-05-26,SLV,16.020000457763672,17.610000610351562,-9.0289613712634,1
2015-05-27,SLV,15.960000038146973,17.610000610351562,-9.369679244841599,1
2015-05-28,SLV,15.970000267028809,17.610000610351562,-9.31289202999075,1
2015-05-29,SLV,15.989999771118164,17.610000610351562,-9.199323015815942,1
2015-06-01,SLV,16.0,17.610000610351562,-9.14253580096509,1
2015-06-02,SLV,16.06999969482422,17.610000610351562,-8.74503612806291,1
2015-06-03,SLV,15.829999923706055,17.610000610351562,-10.107896791321991,1
2015-06-04,SLV,15.479999542236328,17.610000610351562,-12.095405986886632,1
2015-06-05,SLV,15.390000343322754,17.610000610351562,-12.60647467396362,1
2015-06-08,SLV,15.319999694824219,17.610000610351562,-13.003979762392671,1
2015-06-09,SLV,15.289999961853027,17.610000610351562,-13.17433599141834,1
2015-06-10,SLV,15.319999694824219,17.610000610351562,-13.003979762392671,1
2015-06-11,SLV,15.329999923706055,17.610000610351562,-12.94719254754183,1
2015-06-12,SLV,15.25,17.610000610351562,-13.40147943529485,1
2015-06-15,SLV,15.399999618530273,17.610000610351562,-12.54969287463965,1
2015-06-16,SLV,15.319999694824219,17.610000610351562,-13.003979762392671,1
2015-06-17,SLV,15.449999809265137,17.610000610351562,-12.26576221591229,1
2015-06-18,SLV,15.460000038146973,17.610000610351562,-12.20897500106144,1
2015-06-19,SLV,15.420000076293945,17.610000610351562,-12.43611844493796,1
2015-06-22,SLV,15.489999771118164,17.610000610351562,-12.03861877203578,1
2015-06-23,SLV,15.140000343322754,17.610000610351562,-14.026122552073538,1
2015-06-24,SLV,15.1899995803833,17.610000610351562,-13.742197308873061,1
2015-06-25,SLV,15.170000076293945,17.610000610351562,-13.855766323047881,1
2015-06-26,SLV,15.109999656677246,17.610000610351562,-14.19648419662608,1
2015-06-29,SLV,15.029999732971191,17.610000610351562,-14.65077108437911,1
2015-06-30,SLV,15.029999732971191,17.610000610351562,-14.65077108437911,1
2015-07-01,SLV,14.899999618530273,17.610000610351562,-15.38898863085949,1
2015-07-02,SLV,14.949999809265137,17.610000610351562,-15.10505797213213,1
2015-07-06,SLV,14.989999771118164,17.610000610351562,-14.87791452825562,1
2015-07-07,SLV,14.430000305175781,17.610000610351562,-18.057922742526788,1
2015-07-08,SLV,14.460000038146973,17.610000610351562,-17.88756651350113,1
2015-07-09,SLV,14.760000228881836,17.610000610351562,-16.18398797666385,1
2015-07-10,SLV,14.880000114440918,17.610000610351562,-15.50255764503431,1
2015-07-13,SLV,14.8100004196167,17.610000610351562,-15.90005731793649,1
2015-07-14,SLV,14.6899995803833,17.610000610351562,-16.5814930650929,1
2015-07-15,SLV,14.430000305175781,17.610000610351562,-18.057922742526788,1
2015-07-16,SLV,14.350000381469727,17.610000610351562,-18.51220963027982,1
2015-07-17,SLV,14.229999542236328,17.610000610351562,-19.19364537743623,1
2015-07-20,SLV,14.050000190734863,17.610000610351562,-20.2157881671171,1
2015-07-21,SLV,14.140000343322754,17.610000610351562,-19.70471406451322,1
2015-07-22,SLV,14.140000343322754,17.610000610351562,-19.70471406451322,1
2015-07-23,SLV,14.0,17.610000610351562,-20.499718825844447,1
2015-07-24,SLV,14.020000457763672,17.610000610351562,-20.386144396142758,1
2015-07-27,SLV,13.920000076293945,17.610000610351562,-20.95400571359748,1
2015-07-28,SLV,14.020000457763672,17.610000610351562,-20.386144396142758,1
2015-07-29,SLV,14.149999618530273,17.610000610351562,-19.64793226518925,1
2015-07-30,SLV,14.09000015258789,17.610000610351562,-19.98864472324058,1
2015-07-31,SLV,14.079999923706055,17.610000610351562,-20.04543193809143,1
2015-08-03,SLV,13.869999885559082,17.610000610351562,-21.23793637232484,1
2015-08-04,SLV,13.920000076293945,17.610000610351562,-20.95400571359748,1
2015-08-05,SLV,13.949999809265137,17.610000610351562,-20.78364948457181,1
2015-08-06,SLV,13.989999771118164,17.610000610351562,-20.5565060406953,1
2015-08-07,SLV,14.109999656677246,17.610000610351562,-19.87507570906577,1
2015-08-10,SLV,14.539999961853027,17.610000610351562,-17.4332796257481,1
2015-08-11,SLV,14.640000343322754,17.610000610351562,-16.86541830829338,1
2015-08-12,SLV,14.819999694824219,17.610000610351562,-15.84327551861252,1
2015-08-13,SLV,14.710000038146973,17.610000610351562,-16.46791863539121,1
2015-08-14,SLV,14.550000190734863,17.610000610351562,-17.37649241089725,1
2015-08-17,SLV,14.630000114440918,17.610000610351562,-16.92220552314423,1
2015-08-18,SLV,14.220000267028809,17.610000610351562,-19.250427176760198,1
2015-08-19,SLV,14.569999694824219,17.610000610351562,-17.262923396722442,1
2015-08-20,SLV,14.779999732971191,17.610000610351562,-16.07041896248903,1
2015-08-21,SLV,14.609999656677246,17.610000610351562,-17.03577995284592,1
2015-08-24,SLV,14.130000114440918,17.610000610351562,-19.76150127936407,1
2015-08-25,SLV,13.989999771118164,17.610000610351562,-20.5565060406953,1
2015-08-26,SLV,13.5600004196167,17.610000610351562,-22.998296708486087,1
2015-08-27,SLV,13.800000190734863,17.610000610351562,-21.635436045227017,1
2015-08-28,SLV,13.920000076293945,17.610000610351562,-20.95400571359748,1
2015-08-31,SLV,13.989999771118164,17.610000610351562,-20.5565060406953,1
2015-09-01,SLV,13.9399995803833,17.610000610351562,-20.84043669942266,1
2015-09-02,SLV,14.020000457763672,17.610000610351562,-20.386144396142758,1
2015-09-03,SLV,14.020000457763672,17.610000610351562,-20.386144396142758,1
2015-09-04,SLV,13.920000076293945,17.610000610351562,-20.95400571359748,1
2015-09-08,SLV,14.119999885559082,17.610000610351562,-19.81828849421492,1
2015-09-09,SLV,13.930000305175781,17.610000610351562,-20.89721849874663,1
2015-09-10,SLV,13.989999771118164,17.610000610351562,-20.5565060406953,1
2015-09-11,SLV,13.949999809265137,17.610000610351562,-20.78364948457181,1
2015-09-14,SLV,13.789999961853027,17.610000610351562,-21.69222326007786,1
2015-09-15,SLV,13.770000457763672,17.610000610351562,-21.805792274252678,1
2015-09-16,SLV,14.220000267028809,17.610000610351562,-19.250427176760198,1
