ticker,date,close,return_1d,z_score,volume_spike,rsi,vix_rank,volatility_7d,event_type,direction,year,month,ticker_name,group,return_pct
EWA,2015-02-26,14.785122871398926,-0.013422718852751037,-1.55,1.0,61.93456629750445,,0.008020666731476299,MAJOR LOSS,BEARISH,2015,2,Australia ETF,Australia,-1.34
EWA,2015-03-06,14.489670753479004,-0.017476777020466794,-1.88,1.1,47.4016004019124,,0.008459229960538382,MAJOR LOSS,BEARISH,2015,3,Australia ETF,Australia,-1.75
EWA,2015-03-10,14.15650463104248,-0.02299335354852905,-2.23,2.1,37.575818171242716,,0.009460803357876616,MAJOR LOSS,BEARISH,2015,3,Australia ETF,Australia,-2.3
EWA,2015-03-12,14.52739429473877,0.028940693584793564,2.46,1.5,50.79863647257338,,0.01656871988167956,MAJOR GAIN,BULLISH,2015,3,Australia ETF,Australia,2.89
EWA,2015-03-13,14.244512557983398,-0.019472297028367946,-1.72,1.8,43.54724299833841,,0.017650767735714914,MAJOR LOSS,BEARISH,2015,3,Australia ETF,Australia,-1.95
EWA,2015-03-18,14.753695487976074,0.02983775152201984,2.33,2.0,56.708052193728925,,0.021119747888528242,MAJOR GAIN,BULLISH,2015,3,Australia ETF,Australia,2.98
EWA,2015-03-20,15.042856216430664,0.029690060483343217,2.17,1.6,61.29602521956416,,0.020692217574165735,MAJOR GAIN,BULLISH,2015,3,Australia ETF,Australia,2.97
EWA,2015-04-17,14.634255409240723,-0.01854973378265401,-1.62,1.1,49.37810379115964,,0.012358658572404757,MAJOR LOSS,BEARISH,2015,4,Australia ETF,Australia,-1.85
EWA,2015-04-24,15.042856216430664,0.022649696996101643,1.73,0.7,60.47734537316462,,0.01348028170059505,MAJOR GAIN,BULLISH,2015,4,Australia ETF,Australia,2.26
EWA,2015-04-29,14.967422485351562,-0.02378006252119902,-1.99,1.2,55.024317351542734,,0.01462951924601446,MAJOR LOSS,BEARISH,2015,4,Australia ETF,Australia,-2.38
EWA,2015-04-30,14.659401893615723,-0.020579401165250477,-1.68,1.4,47.62111282135123,,0.017221843398806655,MAJOR LOSS,BEARISH,2015,4,Australia ETF,Australia,-2.06
EWA,2015-05-12,14.495956420898438,0.023978503077066504,1.88,1.2,46.99932418288298,,0.01555308083906386,MAJOR GAIN,BULLISH,2015,5,Australia ETF,Australia,2.4
EWA,2015-05-13,14.79769229888916,0.020815175572390432,1.58,0.8,53.32832834922676,,0.017853228651917217,MAJOR GAIN,BULLISH,2015,5,Australia ETF,Australia,2.08
EWA,2015-06-04,13.584464073181152,-0.030506854248137816,-2.19,1.7,30.837343595323205,,0.012142681136132831,MAJOR LOSS,BEARISH,2015,6,Australia ETF,Australia,-3.05
EWA,2015-06-10,13.810763359069824,0.02233586972958168,1.74,1.0,40.94009059292586,,0.0159493227440662,MAJOR GAIN,BULLISH,2015,6,Australia ETF,Australia,2.23
EWA,2015-06-26,13.802725791931152,-0.01876449620314813,-1.51,1.3,41.38829455140854,,0.009085192299013905,MAJOR LOSS,BEARISH,2015,6,Australia ETF,Australia,-1.88
EWA,2015-06-29,13.455084800720215,-0.025186401327639385,-1.94,1.3,33.63241988600359,,0.01223979459132512,MAJOR LOSS,BEARISH,2015,6,Australia ETF,Australia,-2.52
EWA,2015-07-06,13.384272575378418,-0.028050089148101476,-2.06,1.1,36.128670162833004,,0.01622375483497937,MAJOR LOSS,BEARISH,2015,7,Australia ETF,Australia,-2.81
EWA,2015-07-08,13.036625862121582,-0.028310919624548347,-2.02,1.6,30.676630483464024,,0.018157652050056938,MAJOR LOSS,BEARISH,2015,7,Australia ETF,Australia,-2.83
EWA,2015-07-28,13.34564208984375,0.022693713467120347,1.89,1.4,45.39660550979567,,0.015008560126407505,MAJOR GAIN,BULLISH,2015,7,Australia ETF,Australia,2.27
EWA,2015-08-06,13.210447311401367,-0.024714805205338752,-1.86,1.1,42.56042332475117,,0.012844362439674918,MAJOR LOSS,BEARISH,2015,8,Australia ETF,Australia,-2.47
EWA,2015-08-11,12.837052345275879,-0.034382631860909396,-2.45,1.0,36.882878131631216,,0.018950540521054236,MAJOR LOSS,BEARISH,2015,8,Australia ETF,Australia,-3.44
EWA,2015-08-20,12.41215705871582,-0.028715203953471158,-2.02,2.6,31.202830551334372,,0.012130599579542555,MAJOR LOSS,BEARISH,2015,8,Australia ETF,Australia,-2.87
EWA,2015-08-21,12.116012573242188,-0.02385922801916851,-1.61,1.7,26.975258027630332,,0.013763115573581265,MAJOR LOSS,BEARISH,2015,8,Australia ETF,Australia,-2.39
EWA,2015-08-24,11.163214683532715,-0.07863955933932387,-4.52,4.3,18.357525182803386,,0.029586482509234714,EXTREME LOSS,BEARISH,2015,8,Australia ETF,Australia,-7.86
EWA,2015-08-25,11.826312065124512,0.05940021762458425,3.37,2.8,34.12930995263994,,0.041962215270910395,EXTREME GAIN,BULLISH,2015,8,Australia ETF,Australia,5.94
EWA,2015-08-26,12.154638290405273,0.02776235088950396,1.6,1.9,40.28094486098202,,0.04423321337326144,MAJOR GAIN,BULLISH,2015,8,Australia ETF,Australia,2.78
EWA,2015-09-01,11.45291805267334,-0.04611240479496059,-2.2,0.9,33.49637890752334,,0.04717922424314245,MAJOR LOSS,BEARISH,2015,9,Australia ETF,Australia,-4.61
EWA,2015-09-08,11.806997299194336,0.04561011336694909,2.3,0.5,42.64442158073061,,0.031125934591077455,MAJOR GAIN,BULLISH,2015,9,Australia ETF,Australia,4.56
EWA,2015-12-01,12.637480735778809,0.02828718038971112,1.8,1.5,61.67980295231858,,0.013091866398051273,MAJOR GAIN,BULLISH,2015,12,Australia ETF,Australia,2.83
EWA,2015-12-11,11.646051406860352,-0.027941864543233108,-1.96,1.4,35.90734877306758,,0.012390568388902285,MAJOR LOSS,BEARISH,2015,12,Australia ETF,Australia,-2.79
EWA,2015-12-16,12.006569862365723,0.028681717414132724,1.96,1.8,47.67999189107019,,0.018083391841808186,MAJOR GAIN,BULLISH,2015,12,Australia ETF,Australia,2.87
EWA,2015-12-29,12.70977783203125,0.027287406526272262,1.82,0.9,64.34327447230432,,0.010139546630895195,MAJOR GAIN,BULLISH,2015,12,Australia ETF,Australia,2.73
EWA,2016-01-06,11.842597961425781,-0.028773126332049315,-1.95,1.1,40.91473945301741,0.8492063492063492,0.017394951185730187,MAJOR LOSS,BEARISH,2016,1,Australia ETF,Australia,-2.88
EWA,2016-01-07,11.339503288269043,-0.04248178269628333,-2.68,1.6,32.79712213539308,0.9444444444444444,0.021856841675502364,MAJOR LOSS,BEARISH,2016,1,Australia ETF,Australia,-4.25
EWA,2016-01-15,10.75697135925293,-0.053581722043810065,-3.07,1.8,30.45669190346399,0.9682539682539683,0.02735896515011147,EXTREME LOSS,BEARISH,2016,1,Australia ETF,Australia,-5.36
EWA,2016-01-19,11.015138626098633,0.023999995744492963,1.51,2.0,36.62396034048436,0.9424603174603174,0.02708429032662367,MAJOR GAIN,BULLISH,2016,1,Australia ETF,Australia,2.4
EWA,2016-02-02,11.326263427734375,-0.0316922130151116,-1.74,0.7,45.26108051187219,0.8293650793650794,0.019550487413223284,MAJOR LOSS,BEARISH,2016,2,Australia ETF,Australia,-3.17
EWA,2016-02-22,11.988231658935547,0.027809358788159155,1.56,0.6,60.833312221610065,0.7142857142857143,0.012183481908159838,MAJOR GAIN,BULLISH,2016,2,Australia ETF,Australia,2.78
EWA,2016-03-01,11.809497833251953,0.032407068902111424,1.8,1.0,55.8980231625172,0.6309523809523809,0.020642944835605855,MAJOR GAIN,BULLISH,2016,3,Australia ETF,Australia,3.24
EWA,2016-03-02,12.153725624084473,0.029148385112809594,1.56,0.9,62.01041023911315,0.6111111111111112,0.02092670822769296,MAJOR GAIN,BULLISH,2016,3,Australia ETF,Australia,2.91
EWA,2016-04-05,12.180201530456543,-0.029535865299512687,-1.71,0.7,41.08700530595128,0.4603174603174603,0.011795144774090927,MAJOR LOSS,BEARISH,2016,4,Australia ETF,Australia,-2.95
EWA,2016-04-12,12.703154563903809,0.031166006277311586,1.58,1.4,54.62357213388078,0.38095238095238093,0.02239616207655122,MAJOR GAIN,BULLISH,2016,4,Australia ETF,Australia,3.12
EWA,2016-04-27,13.113577842712402,-0.02413762440032252,-1.58,1.8,54.10406048851775,0.2123015873015873,0.012405311016384807,MAJOR LOSS,BEARISH,2016,4,Australia ETF,Australia,-2.41
EWA,2016-06-10,12.86202621459961,-0.025087979681182593,-2.04,1.0,45.82549989041956,0.5873015873015873,0.015770428032777364,MAJOR LOSS,BEARISH,2016,6,Australia ETF,Australia,-2.51
EWA,2016-06-20,12.967942237854004,0.02511780709889022,2.02,1.5,52.2981023645501,0.6329365079365079,0.015868680898054186,MAJOR GAIN,BULLISH,2016,6,Australia ETF,Australia,2.51
EWA,2016-06-23,13.427179336547852,0.027749132709577795,2.11,1.7,63.63999406236011,0.5634920634920635,0.013096273303695078,MAJOR GAIN,BULLISH,2016,6,Australia ETF,Australia,2.77
EWA,2016-06-24,12.702113151550293,-0.053999888347657565,-3.7,2.2,44.94026801371436,0.9126984126984127,0.027341220617150865,EXTREME LOSS,BEARISH,2016,6,Australia ETF,Australia,-5.4
EWA,2016-06-27,12.326154708862305,-0.0295981021584667,-1.94,1.7,38.60587020809661,0.8571428571428571,0.02967596746574284,MAJOR LOSS,BEARISH,2016,6,Australia ETF,Australia,-2.96
EWA,2016-06-28,12.675256729125977,0.02832205408006705,1.82,1.0,46.19036910265234,0.6388888888888888,0.03173490967566356,MAJOR GAIN,BULLISH,2016,6,Australia ETF,Australia,2.83
EWA,2016-07-08,13.232486724853516,0.02442839845249689,1.63,0.6,55.95048250975056,0.07142857142857142,0.015262697739086686,MAJOR GAIN,BULLISH,2016,7,Australia ETF,Australia,2.44
EWA,2016-09-09,13.2727689743042,-0.03183152687482682,-2.36,1.2,32.48978894873474,0.6388888888888888,0.01565550637066365,MAJOR LOSS,BEARISH,2016,9,Australia ETF,Australia,-3.18
EWA,2016-09-13,12.943804740905762,-0.03406790565401252,-2.38,2.3,28.978201454516224,0.6587301587301587,0.019699785102036575,MAJOR LOSS,BEARISH,2016,9,Australia ETF,Australia,-3.41
EWA,2016-09-21,13.722579956054688,0.02251111272341011,1.77,0.8,53.77795586643331,0.16666666666666666,0.018547840855105576,MAJOR GAIN,BULLISH,2016,9,Australia ETF,Australia,2.25
EWA,2016-10-11,13.823281288146973,-0.01905653677461694,-1.87,1.4,49.75928258709802,0.5099206349206349,0.009143648333182451,MAJOR LOSS,BEARISH,2016,10,Australia ETF,Australia,-1.91
EWA,2016-10-27,13.601733207702637,-0.016982330433607862,-1.6,1.3,40.88468901522217,0.5158730158730159,0.009654978127063866,MAJOR LOSS,BEARISH,2016,10,Australia ETF,Australia,-1.7
EWA,2016-11-07,13.749430656433105,0.029145648364721666,2.63,2.0,50.48076177318941,0.7619047619047619,0.013480780566730683,MAJOR GAIN,BULLISH,2016,11,Australia ETF,Australia,2.91
EWA,2016-11-16,13.534595489501953,-0.019455501323647262,-1.65,0.8,43.206534659113494,0.29563492063492064,0.009362600012136024,MAJOR LOSS,BEARISH,2016,11,Australia ETF,Australia,-1.95
EWA,2016-12-14,14.044831275939941,-0.018761634949422512,-2.02,1.6,54.31030701022477,0.23412698412698413,0.009890491451780458,MAJOR LOSS,BEARISH,2016,12,Australia ETF,Australia,-1.88
EWA,2017-01-03,14.192996978759766,0.017795233695544477,1.86,1.8,59.77230349544706,0.2123015873015873,0.008814834057209384,MAJOR GAIN,BULLISH,2017,1,Australia ETF,Australia,1.78
EWA,2017-02-15,15.357942581176758,0.01364884744122108,1.51,2.2,75.30980960264405,0.18055555555555555,0.005939930124677926,MAJOR GAIN,BULLISH,2017,2,Australia ETF,Australia,1.36
EWA,2017-02-24,15.22007942199707,-0.012963496791425277,-1.93,0.9,61.918538579600344,0.09126984126984126,0.007894693908817188,MAJOR LOSS,BEARISH,2017,2,Australia ETF,Australia,-1.3
EWA,2017-03-02,15.13046646118164,-0.011261210871671756,-1.72,0.9,54.348327784387884,0.1746031746031746,0.0082916148800476,MAJOR LOSS,BEARISH,2017,3,Australia ETF,Australia,-1.13
EWA,2017-03-15,15.61298942565918,0.03095138943246556,3.7,2.2,67.76662292704546,0.14285714285714285,0.012872637003574607,EXTREME GAIN,BULLISH,2017,3,Australia ETF,Australia,3.1
EWA,2017-03-21,15.316582679748535,-0.013759505105108039,-1.93,1.7,54.01140302220675,0.3531746031746032,0.01459338933807113,MAJOR LOSS,BEARISH,2017,3,Australia ETF,Australia,-1.38
