date,close_price,volume,daily_return,sentiment_score,sentiment_count,ma_7,ma_30
2015-01-02,170.5896453857422,121465900,,0.0,0.0,,
2015-01-05,167.50885009765625,169632600,-0.01805968516506118,0.0,0.0,,
2015-01-06,165.9310760498047,209151400,-0.009419048885666248,0.0,0.0,,
2015-01-07,167.99871826171875,125346700,0.012460849776526839,0.0,0.0,,
2015-01-08,170.97987365722656,147217800,0.017745107976738117,0.0,0.0,,
2015-01-09,169.6097412109375,158567300,-0.0080134136081762,0.0,0.0,,
2015-01-12,168.2810821533203,144396100,-0.007833624697090813,0.0,0.0,168.6998552594866,
2015-01-13,167.80780029296875,214553300,-0.0028124484005894734,0.0,0.0,168.30244881766183,
2015-01-14,166.794677734375,192991100,-0.006037398481030021,0.0,0.0,168.20042419433594,
2015-01-15,165.26673889160156,176613900,-0.009160597109739488,0.0,0.0,168.1055188860212,
2015-01-16,167.43408203125,211879600,0.013114212540189296,0.0,0.0,168.0248565673828,
2015-01-20,167.7911376953125,130991100,0.0021325148364708113,0.0,0.0,167.56932285853796,
2015-01-21,168.63818359375,122942700,0.005048215955097968,0.0,0.0,167.43052891322546,
2015-01-22,171.1460418701172,174356000,0.014871236293724666,0.0,0.0,167.83980887276786,
2015-01-23,170.20762634277344,117516800,-0.005483127258390952,0.0,0.0,168.1826411655971,
2015-01-26,170.60623168945312,92009700,0.002341877125276115,0.0,0.0,168.7271488734654,
2015-01-27,168.35581970214844,134044600,-0.013190678705107373,0.0,0.0,169.16844613211495,
2015-01-28,166.19680786132812,168514300,-0.012824099841870606,0.0,0.0,168.99169267926897,
2015-01-29,167.7330322265625,173585400,0.009243404762119045,0.0,0.0,168.98339189801897,
2015-01-30,165.62380981445312,197729700,-0.012574877971921361,0.0,0.0,168.55276707240515,
2015-02-02,167.6749267578125,163107000,0.012384191292648117,0.0,0.0,168.05689348493303,
2015-02-03,170.09971618652344,124212900,0.01446125235058715,0.0,0.0,168.0414777483259,
2015-02-04,169.45191955566406,134306700,-0.0038083345779896804,0.0,0.0,167.87657601492745,
2015-02-05,171.16259765625,97953200,0.010095359822843264,0.0,0.0,168.27754429408483,
2015-02-06,170.68922424316406,125672000,-0.0027656358314719354,0.0,0.0,168.91931806291853,
2015-02-09,169.92529296875,87219000,-0.004475568260394525,0.0,0.0,169.2324981689453,
2015-02-10,171.73556518554688,96164200,0.010653341743125821,0.0,0.0,170.10560607910156,
2015-02-11,171.8352508544922,91087800,0.0005804602490906419,0.0,0.0,170.69993809291296,
2015-02-12,173.4877166748047,97545900,0.009616570593607543,0.0,0.0,171.1839381626674,
