date,ticker,article_count,avg_sentiment,bullish_count,bearish_count,neutral_count,market_group,bull_bear_ratio
2022-01-03,GLD,1,0.016271475702524185,0,0,1,Commodities,0.0
2022-01-03,QQQ,1,0.01847451739013195,0,0,1,US,0.0
2022-01-03,SPY,8,0.07995624875184149,0,0,5,US,0.0
2022-01-04,QQQ,3,-0.6424808390438557,0,0,0,US,0.0
2022-01-04,SPY,13,-0.10420674701722768,0,0,5,US,0.0
2022-01-05,GLD,3,0.42529246024787426,0,0,1,Commodities,0.0
2022-01-05,SLV,1,0.02708042412996292,0,0,1,Commodities,0.0
2022-01-05,SPY,3,0.5206535669664542,0,0,1,US,0.0
2022-01-05,USO,2,0.2665458209812641,0,0,1,Commodities,0.0
2022-01-06,SPY,2,0.23981102649122477,0,0,1,US,0.0
2022-01-07,QQQ,1,-0.8454591520130634,0,0,0,US,0.0
2022-01-07,SPY,2,-0.8975611082278192,0,0,0,US,0.0
2022-01-10,QQQ,2,0.060004545375704765,0,0,2,US,0.0
2022-01-10,SPY,6,0.18315485461304584,0,0,5,US,0.0
2022-01-10,USO,1,-0.20185159891843796,0,0,1,Commodities,0.0
2022-01-11,QQQ,2,0.47930446546524763,0,0,1,US,0.0
2022-01-11,SPY,5,-0.009878996387124061,0,0,1,US,0.0
2022-01-12,SPY,3,0.15046637194852033,0,0,2,US,0.0
2022-01-13,GLD,1,0.09610310196876526,0,0,0,Commodities,0.0
2022-01-13,QQQ,2,0.13680984172970057,0,0,1,US,0.0
2022-01-13,SPY,6,0.07406465988606215,0,0,3,US,0.0
2022-01-13,USO,1,0.09610310196876526,0,0,0,Commodities,0.0
2022-01-14,QQQ,1,0.17860866710543633,0,0,1,US,0.0
2022-01-14,SPY,5,-0.0038109652698040007,0,0,3,US,0.0
2022-01-18,QQQ,3,0.2293032972762982,0,0,2,US,0.0
2022-01-18,SPY,4,0.07630628487095237,0,0,2,US,0.0
2022-01-19,GLD,1,0.2594757154583931,0,0,1,Commodities,0.0
2022-01-19,QQQ,2,-0.31782786920666695,0,0,1,US,0.0
2022-01-19,SPY,5,-0.4241529740393162,0,0,1,US,0.0
2022-01-20,SPY,3,-0.00549880104760329,0,0,3,US,0.0
2022-01-21,GLD,1,0.726549357175827,0,0,0,Commodities,0.0
2022-01-21,QQQ,3,-0.6243085556974014,0,0,1,US,0.0
2022-01-21,SPY,9,-0.13584842543221182,0,0,5,US,0.0
2022-01-24,GLD,5,-0.40502099618315696,0,0,1,Commodities,0.0
2022-01-24,QQQ,5,-0.561141012609005,0,0,1,US,0.0
2022-01-24,SPY,21,-0.4247502808326057,0,0,7,US,0.0
2022-01-25,QQQ,1,0.10473161190748215,0,0,1,US,0.0
2022-01-25,SPY,6,-0.2769413661832611,0,0,4,US,0.0
2022-01-26,GLD,1,-0.8092463910579681,0,0,0,Commodities,0.0
2022-01-26,QQQ,4,-0.1665134944487363,0,0,3,US,0.0
2022-01-26,SPY,6,-0.295923779408137,0,0,3,US,0.0
2022-01-27,QQQ,1,0.8762087002396584,0,0,0,US,0.0
2022-01-27,SPY,3,-0.007613729064663251,0,0,1,US,0.0
2022-01-28,SPY,3,-0.34123392403125763,0,0,1,US,0.0
2022-01-31,SPY,7,-0.5408185945291605,0,0,1,US,0.0
2022-02-01,SPY,1,0.5945840552449226,0,0,0,US,0.0
2022-02-02,GLD,1,0.11080020666122437,0,0,1,Commodities,0.0
2022-02-02,QQQ,1,-0.8514470439404249,0,0,0,US,0.0
2022-02-02,SPY,4,-0.2398294573649764,0,0,3,US,0.0
2022-02-03,QQQ,3,0.061503603433569275,0,0,0,US,0.0
2022-02-03,SPY,9,0.11727902851998806,0,0,3,US,0.0
2022-02-04,GLD,1,-0.8293715957552195,0,0,0,Commodities,0.0
2022-02-04,QQQ,3,0.39708059653639793,0,0,2,US,0.0
2022-02-04,SPY,4,-0.019609418231993914,0,0,2,US,0.0
2022-02-07,GLD,1,0.6102674640715122,0,0,0,Commodities,0.0
2022-02-07,QQQ,2,-0.09690152667462826,0,0,0,US,0.0
2022-02-07,SPY,7,0.057107092812657356,0,0,2,US,0.0
2022-02-07,USO,1,0.8219425966963172,0,0,0,Commodities,0.0
2022-02-08,SPY,6,0.023853799405818183,0,0,3,US,0.0
2022-02-08,USO,1,0.028865053318440914,0,0,1,Commodities,0.0
2022-02-09,QQQ,4,0.17482090136036277,0,0,1,US,0.0
2022-02-09,SPY,7,-0.0050486162570970395,0,0,3,US,0.0
2022-02-09,USO,2,0.37150651682168245,0,0,1,Commodities,0.0
2022-02-10,GLD,1,0.03910692874342203,0,0,1,Commodities,0.0
2022-02-10,QQQ,2,-0.32843609154224396,0,0,0,US,0.0
2022-02-10,SPY,3,-0.20592175144702196,0,0,1,US,0.0
2022-02-11,QQQ,1,-0.9378459407016635,0,0,0,US,0.0
2022-02-11,SPY,8,-0.005585772218182683,0,0,6,US,0.0
2022-02-14,GLD,2,0.04838057607412338,0,0,1,Commodities,0.0
2022-02-14,QQQ,3,-0.26513741351664066,0,0,1,US,0.0
2022-02-14,SPY,7,-0.08495556217219148,0,0,5,US,0.0
2022-02-14,USO,1,-0.8921733926981688,0,0,0,Commodities,0.0
2022-02-15,GLD,1,-0.9344517383724451,0,0,0,Commodities,0.0
2022-02-15,QQQ,4,-0.4901778376661241,0,0,2,US,0.0
2022-02-15,SPY,5,-0.3646798012778163,0,0,2,US,0.0
2022-02-16,GLD,1,-0.5428884718567133,0,0,0,Commodities,0.0
2022-02-16,QQQ,1,-0.006241336464881897,0,0,1,US,0.0
2022-02-16,SPY,1,-0.5428884718567133,0,0,0,US,0.0
2022-02-16,USO,1,-0.5428884718567133,0,0,0,Commodities,0.0
2022-02-17,GLD,1,-0.9480599826201797,0,0,0,Commodities,0.0
2022-02-17,QQQ,1,-0.9480599826201797,0,0,0,US,0.0
2022-02-17,SPY,3,0.059845682233572006,0,0,1,US,0.0
2022-02-18,GLD,2,-0.11681276559829712,0,0,0,Commodities,0.0
2022-02-18,QQQ,1,0.6657425165176392,0,0,0,US,0.0
2022-02-18,SPY,4,-0.2977399080991745,0,0,1,US,0.0
2022-02-22,EWA,1,0.6793219707906246,0,0,0,Australia,0.0
2022-02-22,GLD,5,-0.6182610642164945,0,0,0,Commodities,0.0
2022-02-22,QQQ,4,-0.5672380034811795,0,0,0,US,0.0
2022-02-22,SPY,8,-0.5910420801956207,0,0,1,US,0.0
2022-02-22,^AXJO,1,0.6793219707906246,0,0,0,Australia,0.0
2022-02-23,GLD,10,-0.49320610156282785,0,0,2,Commodities,0.0
2022-02-23,QQQ,9,-0.5955441162611047,0,0,2,US,0.0
2022-02-23,SPY,13,-0.38576104097927993,0,0,3,US,0.0
2022-02-24,GLD,5,-0.2722572362050414,0,0,3,Commodities,0.0
2022-02-24,QQQ,3,-0.38192624257256585,0,0,1,US,0.0
2022-02-24,SPY,10,-0.07819279441609979,0,0,7,US,0.0
2022-02-25,GLD,2,-0.43274562805891037,0,0,1,Commodities,0.0
2022-02-25,SPY,4,-0.15687404060736299,0,0,2,US,0.0
2022-02-28,GLD,2,0.20733300410211086,0,0,0,Commodities,0.0
2022-02-28,QQQ,1,0.8849633745849133,0,0,0,US,0.0
2022-02-28,SPY,4,0.03534101112745702,0,0,0,US,0.0
2022-02-28,USO,1,0.6913404613733292,0,0,0,Commodities,0.0
2022-03-01,GLD,3,0.155757462605834,0,0,1,Commodities,0.0
2022-03-01,QQQ,4,0.30204203398898244,0,0,1,US,0.0
2022-03-01,SPY,7,0.2201194567605853,0,0,3,US,0.0
2022-03-01,USO,1,0.7408957481384277,0,0,0,Commodities,0.0
2022-03-02,GLD,2,-0.3061977084726095,0,0,1,Commodities,0.0
2022-03-02,QQQ,3,0.27146435901522636,0,0,0,US,0.0
2022-03-02,SPY,4,0.01022468926385045,0,0,2,US,0.0
2022-03-03,GLD,2,-0.1069933446124196,0,0,2,Commodities,0.0
2022-03-03,QQQ,1,-0.021975113078951836,0,0,1,US,0.0
2022-03-03,SPY,2,-0.1069933446124196,0,0,2,US,0.0
2022-03-04,GLD,1,-0.9215810652822256,0,0,0,Commodities,0.0
2022-03-04,QQQ,1,-0.7776457630097866,0,0,0,US,0.0
2022-03-04,SPY,6,-0.663332884820799,0,0,1,US,0.0
2022-03-07,GLD,3,-0.04711471435924371,0,0,1,Commodities,0.0
2022-03-07,QQQ,3,-0.21468960804243883,0,0,0,US,0.0
2022-03-07,SLV,1,0.028483103960752487,0,0,1,Commodities,0.0
2022-03-07,SPY,5,-0.31429182589054105,0,0,1,US,0.0
2022-03-07,USO,2,0.04327473044395447,0,0,2,Commodities,0.0
2022-03-09,GLD,2,-0.7037943946197629,0,0,0,Commodities,0.0
2022-03-09,QQQ,3,-0.8652163396279017,0,0,0,US,0.0
2022-03-09,SPY,6,-0.5775989615358412,0,0,0,US,0.0
2022-03-10,GLD,1,-0.16715631633996964,0,0,1,Commodities,0.0
2022-03-10,QQQ,1,-0.16715631633996964,0,0,1,US,0.0
2022-03-10,SPY,3,0.16934578803678355,0,0,2,US,0.0
2022-03-11,GLD,1,0.03240741044282913,0,0,1,Commodities,0.0
2022-03-11,QQQ,2,-0.4190186941996217,0,0,1,US,0.0
2022-03-11,SPY,8,-0.031361077446490526,0,0,4,US,0.0
2022-03-14,GLD,3,-0.3854454917212327,0,0,2,Commodities,0.0
2022-03-14,QQQ,5,-0.5324595656245947,0,0,2,US,0.0
2022-03-14,SLV,1,-0.004584718495607376,0,0,1,Commodities,0.0
2022-03-14,SPY,8,-0.7210095757618546,0,0,2,US,0.0
2022-03-14,USO,4,-0.42462023440748453,0,0,2,Commodities,0.0
2022-03-15,GLD,1,0.8639322482049465,0,0,0,Commodities,0.0
2022-03-15,QQQ,2,0.10588959883898497,0,0,0,US,0.0
2022-03-15,SPY,4,0.14378341427072883,0,0,1,US,0.0
2022-03-16,GLD,2,-0.008365282788872719,0,0,2,Commodities,0.0
2022-03-16,QQQ,4,0.39216321147978306,0,0,2,US,0.0
2022-03-16,SPY,8,0.1577038001269102,0,0,4,US,0.0
2022-03-16,USO,1,0.030129682272672653,0,0,1,Commodities,0.0
2022-03-17,GLD,1,0.3020220398902893,0,0,1,Commodities,0.0
2022-03-17,QQQ,1,0.3893638551235199,0,0,0,US,0.0
2022-03-17,SPY,3,0.35459702213605243,0,0,1,US,0.0
2022-03-17,USO,1,0.37240517139434814,0,0,0,Commodities,0.0
2022-03-18,QQQ,2,-0.0459037683904171,0,0,1,US,0.0
2022-03-18,SPY,2,-0.0459037683904171,0,0,1,US,0.0
2022-03-18,USO,1,-0.027664344757795334,0,0,1,Commodities,0.0
2022-03-21,QQQ,2,0.07204132154583931,0,0,2,US,0.0
2022-03-21,SPY,4,0.1281407899223268,0,0,2,US,0.0
2022-03-22,QQQ,2,0.4800930870696902,0,0,1,US,0.0
2022-03-22,SPY,3,0.3299429826438427,0,0,2,US,0.0
2022-03-23,QQQ,1,0.0511336587369442,0,0,1,US,0.0
2022-03-23,SPY,3,2.3368125160535175e-05,0,0,1,US,0.0
2022-03-23,USO,1,-0.9218861702829599,0,0,0,Commodities,0.0
2022-03-24,GLD,1,-0.7396487966179848,0,0,0,Commodities,0.0
2022-03-24,SPY,3,-0.054886301358540855,0,0,1,US,0.0
2022-03-25,SPY,2,-0.4434957094490528,0,0,1,US,0.0
2022-03-28,GLD,1,-0.0027692168951034546,0,0,1,Commodities,0.0
2022-03-28,QQQ,1,0.6699231788516045,0,0,0,US,0.0
2022-03-28,SPY,7,-0.039129592079137056,0,0,2,US,0.0
2022-03-29,QQQ,1,-0.8760392963886261,0,0,0,US,0.0
2022-03-29,SPY,3,-0.25698868681987125,0,0,2,US,0.0
2022-03-30,GLD,2,-0.38071854738518596,0,0,1,Commodities,0.0
2022-03-30,QQQ,1,0.04292805306613445,0,0,1,US,0.0
2022-03-30,SPY,5,-0.33732085581868887,0,0,3,US,0.0
2022-03-31,GLD,1,0.6390426978468895,0,0,0,Commodities,0.0
2022-03-31,SPY,5,0.06727566979825497,0,0,0,US,0.0
2022-03-31,USO,2,0.8435196299105883,0,0,0,Commodities,0.0
2022-04-01,QQQ,2,0.291000721976161,0,0,1,US,0.0
2022-04-01,SPY,9,0.2733149141487148,0,0,3,US,0.0
2022-04-01,USO,1,-0.9402887225151062,0,0,0,Commodities,0.0
2022-04-04,EWA,1,0.09131531417369843,0,0,1,Australia,0.0
2022-04-04,QQQ,1,0.78673255443573,0,0,0,US,0.0
2022-04-04,SPY,7,0.2779991419187614,0,0,4,US,0.0
2022-04-04,^AXJO,1,0.09131531417369843,0,0,1,Australia,0.0
2022-04-05,GLD,1,-0.005164831876754761,0,0,1,Commodities,0.0
2022-04-05,QQQ,1,-0.9069308685138822,0,0,0,US,0.0
2022-04-05,SPY,4,-0.1994033355731517,0,0,2,US,0.0
2022-04-05,USO,1,0.11291557550430298,0,0,0,Commodities,0.0
2022-04-06,GLD,1,-0.9399181585758924,0,0,0,Commodities,0.0
2022-04-06,QQQ,4,-0.5567890573292971,0,0,0,US,0.0
2022-04-06,SPY,7,-0.6795926128647157,0,0,0,US,0.0
2022-04-06,USO,1,0.012327700853347778,0,0,1,Commodities,0.0
2022-04-07,QQQ,1,0.7487164214253426,0,0,0,US,0.0
2022-04-07,SPY,5,0.15240768529474735,0,0,3,US,0.0
2022-04-08,EWA,1,-0.02722335420548916,0,0,1,Australia,0.0
2022-04-08,GLD,1,0.08216275833547115,0,0,1,Commodities,0.0
2022-04-08,QQQ,2,0.030637379735708237,0,0,0,US,0.0
2022-04-08,SPY,5,0.19893907904624938,0,0,2,US,0.0
2022-04-08,^AXJO,1,-0.02722335420548916,0,0,1,Australia,0.0
2022-04-11,QQQ,1,-0.04658154398202896,0,0,1,US,0.0
2022-04-11,SPY,3,0.2822612163921197,0,0,2,US,0.0
2022-04-12,EWA,1,0.7723119147121906,0,0,0,Australia,0.0
2022-04-12,GLD,1,-0.8948667608201504,0,0,0,Commodities,0.0
2022-04-12,QQQ,1,0.669850517064333,0,0,0,US,0.0
2022-04-12,SPY,2,-0.061277423053979874,0,0,0,US,0.0
2022-04-12,USO,1,0.7723119147121906,0,0,0,Commodities,0.0
2022-04-12,^AXJO,1,0.7723119147121906,0,0,0,Australia,0.0
2022-04-13,GLD,1,0.05460635386407375,0,0,1,Commodities,0.0
2022-04-13,SLV,1,0.05460635386407375,0,0,1,Commodities,0.0
2022-04-13,SPY,3,0.0809590145945549,0,0,3,US,0.0
