date,tech_vs_broad,small_vs_large,equity_bond_ratio,equity_bond_rotation_10d,gold_silver_ratio,gold_silver_chg_5d,risk_appetite,spy_tlt_corr_30d
2015-01-02,,,1.8062051604467693,,7.549967202060239,,,
2015-01-05,,,1.7461564933072016,,7.470967938823085,,,
2015-01-06,,,1.6990975584508927,,7.398610442896476,,,
2015-01-07,,,1.7236727232563636,,7.345741167381571,,,
2015-01-08,,,1.7778039385293558,,7.413043471632976,,,
2015-01-09,0.002634581141521375,-0.005691346144156673,1.744451027119663,,7.4356372056097575,-1.5143111670641862,-0.0015283825013176489,
2015-01-12,-0.003426731192728738,-0.005973642941691004,1.7209372219229193,,7.470699332926745,-0.0035953292604085085,-0.004700187067209871,
2015-01-13,0.0031796962353742853,0.0056878596698992645,1.716096861817854,,7.253529590012565,-1.9609202836622486,0.004433777952636775,
2015-01-14,0.003220916134444418,0.007766863699275706,1.692894888594515,,7.313701634135511,-0.43616474520405957,0.005493889916860062,
2015-01-15,-0.001919503511566667,0.000729743245265535,1.6514006932090595,,7.48854521969409,1.0184986551074582,-0.000594880133150566,
2015-01-16,-0.0047128520113173256,0.005426986418227475,1.6946639594366462,-6.175444708757949,7.228318060666512,-2.7881826292820655,0.0003570672034550748,
2015-01-20,0.0036004979130407344,-0.005366674932953841,1.6760042359021974,-4.017524069227985,7.229336131666117,-3.230797954842468,-0.0008830885099565533,
2015-01-21,0.0011586142992914272,-0.017143010930269598,1.7041636386261245,0.2981629954109666,7.151986030785725,-1.3999192802171323,-0.007992198315489085,
2015-01-22,0.004319776023499866,-0.014101700859017408,1.7357527735153877,0.7008320138757185,7.1113003416547595,-2.767426162643505,-0.004890962417758771,
2015-01-23,0.01636564494792281,-0.0012452236454183474,1.7025385539790048,-4.233615581514149,7.094803068707141,-5.257925797809804,0.0075602106512522305,
2015-01-26,0.013984254090833925,0.002991655267304383,1.7117342953223216,-1.875474363494245,7.179801744851077,-0.6711978555487219,0.008487954679069154,
2015-01-27,-0.0051366275636833825,0.017975263133241492,1.6865194604754579,-1.9999428804848618,7.178303639557993,-0.7059084150837891,0.006419317784779055,
2015-01-28,0.002533042430575838,0.021814981455960614,1.6381095731216277,-4.544457275774905,7.1630877218773445,0.15522529048339617,0.012174011943268226,
2015-01-29,-0.0006290380023086239,0.020787991463953492,1.6642032139213152,-1.6948290686269574,7.435960827474559,4.565416593616312,0.010079476730822434,
2015-01-30,-0.003379159677210364,0.00644294507369525,1.6146367945462785,-2.226225216809141,7.463723707073703,5.199871438204529,0.001531892698242443,
2015-02-02,-0.003559511867762266,-0.0037807543744620142,1.6408273493149883,-3.176831006635361,7.432908516862086,3.5252612955855245,-0.00367013312111214,
2015-02-03,0.00462617362582507,-0.009009998034721578,1.7005505223658435,1.4645718631154159,7.31419991734438,1.8931530986999956,-0.002191912204448254,
2015-02-04,-0.000264429093201235,-0.004846330224320905,1.6911829439253938,-0.7617047099535368,7.310884423727785,2.0633099522018084,-0.00255537965876107,
2015-02-05,-0.002092731349458532,-0.006583061017778169,1.7272191429182502,-0.4916385978087523,7.345597193965738,-1.215224711444729,-0.0043378961836183505,
2015-02-06,-0.010504031752797793,0.004939175193975354,1.753483068377875,2.992267886081512,7.4011225394698,-0.8387390806625428,-0.00278242827941122,
2015-02-09,-0.005379958600470136,0.004564447570637897,1.748438137953811,2.14424883183042,7.302083357681636,-1.7600803088543837,-0.0004077555149161194,
2015-02-10,0.004368553925557794,-0.0031384175133173375,1.7812338126131881,5.615965564431069,7.317479759897919,0.04484212341204774,0.0006150682061202284,
2015-02-11,0.00450282881687647,-0.005281978647919017,1.7789752694553738,8.599284116587413,7.28047265238061,-0.4159793751966956,-0.00038957491552127355,
2015-02-12,0.008003622383381037,-0.006330979849432206,1.8020467018521722,8.282851924438983,7.265634619783918,-1.0885782608323291,0.0008363212669744158,
